Name	AccessionID	Date	Continent	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_825123/2020-11-23	EPI_ISL_825123	2020/11/23	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_825124/2020-11-24	EPI_ISL_825124	2020/11/24	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_825125/2020-11-24	EPI_ISL_825125	2020/11/24	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_825126/2020-11-24	EPI_ISL_825126	2020/11/24	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/EasternCape/NelsonMandelaBay/EPI_ISL_825127/2020-11-24	EPI_ISL_825127	2020/11/24	Africa	SouthAfrica	EasternCape	SouthAfrica - EasternCape
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/Ugu/EPI_ISL_825129/2020-11-25	EPI_ISL_825129	2020/11/25	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/Zululand/EPI_ISL_825130/2020-11-24	EPI_ISL_825130	2020/11/24	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825131/2020-12-12	EPI_ISL_825131	2020/12/12	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825132/2020-12-18	EPI_ISL_825132	2020/12/18	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825133/2020-12-18	EPI_ISL_825133	2020/12/18	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825134/2020-12-18	EPI_ISL_825134	2020/12/18	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825135/2020-12-18	EPI_ISL_825135	2020/12/18	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825136/2020-12-12	EPI_ISL_825136	2020/12/12	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825137/2020-12-17	EPI_ISL_825137	2020/12/17	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/eThekwini/EPI_ISL_825138/2020-12-17	EPI_ISL_825138	2020/12/17	Africa	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
