,EventTime,Origin,Destination
137,2020.9739600000003,SouthAfrica - WesternCape,UnitedArabEmirates
138,2020.9958600000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
139,2020.9329800000003,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
140,2020.8209700000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
141,2020.9602900000002,SouthAfrica - WesternCape,Sweden
142,2020.9521000000002,SouthAfrica - WesternCape,Germany
143,2020.8236800000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
144,2020.8482700000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - WesternCape
145,2020.76465,SouthAfrica - WesternCape,USA
146,2020.2682100000002,SouthAfrica - WesternCape,USA
147,2021.25339,USA,Aruba
148,2021.0095600000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
149,2021.0123,SouthAfrica - WesternCape,USA
150,2020.94088,SouthAfrica - WesternCape,USA
151,2021.2890100000002,USA,Spain
152,2021.3602300000002,USA,Germany
153,2021.3684500000002,Germany,Chile
154,2021.3876300000002,Chile,Norway
155,2021.2835200000002,USA,SouthAfrica - WesternCape
156,2021.3438,SouthAfrica - WesternCape,Netherlands
157,2021.0040800000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
158,2020.9849000000002,SouthAfrica - WesternCape,SouthAfrica - NorthernCape
159,2020.9903800000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
160,2021.0314700000001,SouthAfrica - WesternCape,Japan
161,2020.9712200000001,SouthAfrica - WesternCape,SouthAfrica - Gauteng
162,2020.7666800000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
163,2020.6488200000001,SouthAfrica - WesternCape,Zimbabwe
164,2021.4150300000001,Zimbabwe,SouthAfrica - Gauteng
165,2021.4780500000002,Zimbabwe,USA
166,2020.6736200000003,SouthAfrica - WesternCape,SouthAfrica - EasternCape
167,2020.8307100000002,SouthAfrica - EasternCape,SouthAfrica - WesternCape
168,2020.95484,SouthAfrica - WesternCape,SouthAfrica - Gauteng
169,2020.9357100000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
170,2020.7793000000001,SouthAfrica - EasternCape,SouthAfrica - KwaZulu-Natal
171,2020.95484,SouthAfrica - KwaZulu-Natal,Zimbabwe
172,2021.026,SouthAfrica - KwaZulu-Natal,Mozambique
173,2020.9036300000002,SouthAfrica - KwaZulu-Natal,Turkey
174,2021.1657200000002,Turkey,Finland
175,2020.97123,SouthAfrica - KwaZulu-Natal,SouthAfrica - Mpumalanga
176,2021.0040800000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - WesternCape
177,2021.1707800000001,SouthAfrica - KwaZulu-Natal,UnitedKingdom
178,2021.25888,UnitedKingdom,SouthAfrica - Mpumalanga
179,2021.05887,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
180,2021.0287400000002,SouthAfrica - KwaZulu-Natal,UnitedKingdom
181,2020.9958700000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
182,2020.9958700000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
183,2021.1207000000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - NorthernCape
184,2020.9590900000003,SouthAfrica - KwaZulu-Natal,France
185,2021.06984,France,Switzerland
186,2021.1273600000002,France,Guadeloupe
187,2021.1465400000002,Guadeloupe,France
188,2020.95484,SouthAfrica - KwaZulu-Natal,SouthAfrica - WesternCape
189,2021.0013400000003,SouthAfrica - KwaZulu-Natal,Australia
190,2021.1575100000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
191,2021.0232600000002,SouthAfrica - KwaZulu-Natal,SouthAfrica - NorthernCape
192,2021.2694400000003,SouthAfrica - NorthernCape,SouthAfrica - FreeState
193,2021.0321700000002,SouthAfrica - KwaZulu-Natal,Italy
194,2021.1356,Italy,Germany
195,2021.0780600000003,Italy,Austria
196,2021.0397000000003,SouthAfrica - EasternCape,SouthAfrica - WesternCape
197,2020.7015900000001,SouthAfrica - EasternCape,SouthAfrica - WesternCape
198,2020.8646700000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
199,2021.0040800000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
200,2020.9670400000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
201,2020.8783200000003,SouthAfrica - WesternCape,SouthAfrica - EasternCape
202,2020.9903700000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
203,2021.0862700000002,SouthAfrica - WesternCape,Malawi
204,2020.9329800000003,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
205,2021.4013400000001,SouthAfrica - WesternCape,SouthAfrica - Limpopo
206,2021.18764,SouthAfrica - WesternCape,Namibia
207,2020.9439100000002,SouthAfrica - WesternCape,UnitedKingdom
208,2021.0068200000003,UnitedKingdom,SouthAfrica - WesternCape
209,2021.2862700000003,SouthAfrica - WesternCape,SouthAfrica - Gauteng
210,2020.9903800000002,SouthAfrica - WesternCape,SouthAfrica - NorthWest
211,2020.9193200000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
212,2021.0040800000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
213,2020.9903800000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
214,2020.99312,SouthAfrica - WesternCape,SouthAfrica - EasternCape
215,2020.9029200000002,SouthAfrica - WesternCape,SouthAfrica - FreeState
216,2021.09722,SouthAfrica - EasternCape,Mozambique
217,2020.9903700000002,SouthAfrica - EasternCape,Zimbabwe
218,2020.9903700000002,SouthAfrica - EasternCape,SouthAfrica - KwaZulu-Natal
219,2020.8008900000002,SouthAfrica - EasternCape,Zimbabwe
220,2021.1739300000002,Zimbabwe,USA
221,2020.9958500000002,Zimbabwe,Zambia
222,2021.1328400000002,Zimbabwe,SouthAfrica - EasternCape
223,2021.1355800000001,Zimbabwe,Germany
224,2021.0150300000003,Zimbabwe,UnitedKingdom
225,2021.0314700000001,Zimbabwe,UnitedKingdom
226,2021.0314700000001,UnitedKingdom,Ireland
227,2021.0725700000003,UnitedKingdom,Norway
228,2020.9292800000003,Zimbabwe,UnitedKingdom
229,2021.02501,UnitedKingdom,France
230,2020.9218,Zimbabwe,SouthAfrica - Gauteng
231,2020.9794100000001,SouthAfrica - Gauteng,UnitedKingdom
232,2021.0150200000003,UnitedKingdom,Zimbabwe
233,2021.10091,SouthAfrica - Gauteng,Germany
234,2020.6525000000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
235,2021.0150500000002,SouthAfrica - EasternCape,Ireland
236,2021.0534000000002,SouthAfrica - EasternCape,Sweden
237,2020.3853500000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
238,2020.4657700000002,SouthAfrica - Gauteng,SouthAfrica - NorthWest
239,2021.36298,SouthAfrica - Gauteng,SouthAfrica - WesternCape
240,2021.4150300000001,SouthAfrica - WesternCape,SouthAfrica - Mpumalanga
241,2021.0670900000002,SouthAfrica - Gauteng,Mozambique
242,2021.0670900000002,SouthAfrica - Gauteng,Mozambique
243,2020.9602900000002,SouthAfrica - Gauteng,SouthAfrica - Gauteng
244,2021.0479200000002,SouthAfrica - Gauteng,SouthAfrica - FreeState
245,2021.1972200000002,SouthAfrica - Gauteng,SouthAfrica - WesternCape
246,2021.2232600000002,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
247,2021.0040900000001,SouthAfrica - Gauteng,Netherlands
248,2021.0205200000003,SouthAfrica - Gauteng,SouthAfrica - EPI_ISL_10514823
249,2020.9603000000002,SouthAfrica - Gauteng,Spain
250,2020.99312,SouthAfrica - Gauteng,SouthAfrica - WesternCape
251,2020.88892,SouthAfrica - Gauteng,Malawi
252,2021.2040800000002,Malawi,Rwanda
253,2021.2914500000002,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
254,2021.64244,SouthAfrica - KwaZulu-Natal,SouthAfrica - Mpumalanga
255,2021.4314900000002,SouthAfrica - Gauteng,SouthAfrica - FreeState
256,2021.2299300000002,SouthAfrica - Gauteng,Eswatini
257,2021.3219000000001,Eswatini,SouthAfrica - KwaZulu-Natal
258,2021.2890100000002,Eswatini,SouthAfrica - Mpumalanga
259,2021.3547700000001,SouthAfrica - Gauteng,SouthAfrica - FreeState
260,2021.4177700000002,SouthAfrica - Gauteng,SouthAfrica - FreeState
261,2021.2890100000002,SouthAfrica - Gauteng,Australia
262,2021.2992900000002,SouthAfrica - Gauteng,SouthAfrica - WesternCape
263,2021.41504,SouthAfrica - WesternCape,SouthAfrica - EasternCape
264,2021.16846,SouthAfrica - Gauteng,SouthAfrica - NorthWest
265,2021.2999700000003,SouthAfrica - Gauteng,Germany
266,2020.93297,SouthAfrica - Gauteng,SouthAfrica - EPI_ISL_10514827
267,2021.1876300000001,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
268,2021.20682,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
269,2021.21836,SouthAfrica - Gauteng,Japan
270,2020.92594,SouthAfrica - Gauteng,SouthAfrica - NorthWest
271,2021.3027100000002,SouthAfrica - NorthWest,SouthAfrica - FreeState
272,2020.9048200000002,SouthAfrica - Gauteng,Botswana
273,2020.9615000000001,SouthAfrica - Gauteng,Namibia
274,2021.4561400000002,Namibia,SouthAfrica - WesternCape
275,2020.9521000000002,SouthAfrica - Gauteng,SouthAfrica - Gauteng
276,2020.9778600000002,SouthAfrica - Gauteng,Mozambique
277,2021.2862700000003,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
278,2021.1109300000003,SouthAfrica - Gauteng,Mozambique
279,2021.03148,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
280,2021.18764,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
281,2021.0753200000001,SouthAfrica - Gauteng,SouthAfrica - FreeState
282,2020.9903900000002,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
283,2021.3410800000001,SouthAfrica - Gauteng,SouthAfrica - Limpopo
284,2020.9036,SouthAfrica - Gauteng,Malawi
285,2021.0232600000002,SouthAfrica - Gauteng,SouthAfrica - EPI_ISL_10514831
286,2021.3931300000002,SouthAfrica - Gauteng,Mozambique
287,2021.0197600000001,SouthAfrica - Gauteng,Mozambique
288,2020.9903900000002,SouthAfrica - Gauteng,SouthAfrica - FreeState
289,2021.0479200000002,SouthAfrica - Gauteng,USA
290,2021.4040800000002,SouthAfrica - Gauteng,Thailand
291,2020.8321600000002,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
292,2020.9739600000003,SouthAfrica - Gauteng,Japan
293,2021.2466700000002,SouthAfrica - Gauteng,Australia
294,2021.2572900000002,SouthAfrica - Gauteng,UnitedKingdom
295,2020.9767000000002,SouthAfrica - Gauteng,Zimbabwe
296,2021.0534000000002,SouthAfrica - Gauteng,SouthAfrica - EasternCape
297,2020.9739600000003,SouthAfrica - Gauteng,Australia
298,2020.8783300000002,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
299,2021.0533900000003,SouthAfrica - Gauteng,SouthAfrica - WesternCape
300,2020.97123,SouthAfrica - Gauteng,SouthAfrica - Gauteng
301,2021.0205200000003,SouthAfrica - Gauteng,Austria
302,2021.4123000000002,SouthAfrica - Gauteng,SouthAfrica - Limpopo
303,2020.9329800000003,SouthAfrica - Gauteng,SouthAfrica - EPI_ISL_10514825
304,2021.06984,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
305,2021.2013500000003,SouthAfrica - Gauteng,UnitedKingdom
306,2021.0725700000003,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
307,2021.3465400000002,SouthAfrica - Gauteng,SouthAfrica - WesternCape
308,2021.0479200000002,SouthAfrica - Gauteng,Zimbabwe
309,2021.0095700000002,SouthAfrica - Gauteng,SouthAfrica - FreeState
310,2021.10272,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
311,2021.3876500000001,SouthAfrica - Gauteng,Mozambique
312,2021.1081900000001,SouthAfrica - Gauteng,France
313,2021.0725800000002,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
314,2021.2095600000002,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
315,2020.9986000000001,SouthAfrica - Gauteng,Mozambique
316,2021.0008000000003,SouthAfrica - Gauteng,Qatar
317,2021.3218900000002,Qatar,Germany
318,2021.2040800000002,Qatar,India
319,2020.9110400000002,SouthAfrica - Gauteng,Mozambique
320,2021.3575100000003,Mozambique,SouthAfrica - Gauteng
321,2021.0040800000002,Mozambique,SouthAfrica - EasternCape
322,2021.0287400000002,Mozambique,NewZealand
323,2021.1492900000003,Mozambique,Poland
324,2021.27806,Poland,Denmark
325,2020.9990300000002,Mozambique,SouthAfrica - NorthernCape
326,2021.0534000000002,Mozambique,Gabon
327,2021.08533,Mozambique,Spain
328,2021.26437,Spain,UnitedKingdom
329,2020.9903900000002,Mozambique,Portugal
330,2021.0150500000002,Mozambique,Switzerland
331,2021.1522100000002,Mozambique,SouthAfrica - WesternCape
332,2021.1054700000002,Mozambique,SouthAfrica - Mpumalanga
333,2021.0534100000002,Mozambique,Gabon
334,2020.9739800000002,Mozambique,SouthAfrica - Gauteng
335,2021.3410900000001,Mozambique,SouthAfrica - Gauteng
336,2021.0315000000003,Mozambique,SouthAfrica - NorthWest
337,2021.0534200000002,SouthAfrica - NorthWest,Gabon
338,2021.0013400000003,SouthAfrica - WesternCape,SouthAfrica - EasternCape
339,2020.6809500000002,SouthAfrica - WesternCape,Turkey
340,2021.0671000000002,Turkey,Belgium
341,2020.9411700000003,Turkey,SouthAfrica - Gauteng
342,2020.9111300000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
343,2020.9903900000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
344,2020.9439200000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
345,2020.9165900000003,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
346,2020.88108,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
347,2020.9357200000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
348,2020.97124,SouthAfrica - WesternCape,UnitedKingdom
349,2021.29724,SouthAfrica - WesternCape,SouthAfrica - Mpumalanga
350,2020.9931300000003,SouthAfrica - WesternCape,SouthAfrica - Gauteng
351,2020.76393,SouthAfrica - WesternCape,SouthAfrica - EasternCape
352,2020.8783500000002,SouthAfrica - EasternCape,SouthAfrica - KwaZulu-Natal
353,2021.01231,SouthAfrica - WesternCape,SouthAfrica - EasternCape
354,2020.9903900000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
355,2021.01779,SouthAfrica - WesternCape,Germany
356,2021.0123200000003,SouthAfrica - WesternCape,SouthAfrica - EasternCape
357,2021.0095700000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
358,2021.73834,SouthAfrica - WesternCape,SouthAfrica - Gauteng
359,2020.9736500000001,SouthAfrica - WesternCape,Germany
360,2021.0588800000003,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
361,2021.0095700000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
362,2021.1054600000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
363,2021.0040900000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
364,2020.8947400000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
365,2020.95485,SouthAfrica - WesternCape,SouthAfrica - Gauteng
366,2020.91386,SouthAfrica - WesternCape,SouthAfrica - Gauteng
367,2020.9247900000003,SouthAfrica - WesternCape,UnitedKingdom
368,2020.8455600000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
369,2021.0040900000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
370,2020.9904000000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
371,2020.92206,SouthAfrica - WesternCape,SouthAfrica - Gauteng
372,2020.8783500000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
373,2021.36299,SouthAfrica - WesternCape,SouthAfrica - Gauteng
374,2020.8646700000002,SouthAfrica - WesternCape,SouthAfrica - EasternCape
375,2020.8077400000002,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
376,2021.1277800000003,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
377,2020.98871,SouthAfrica - KwaZulu-Natal,Mozambique
378,2020.8646800000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
379,2020.7310800000002,SouthAfrica - WesternCape,SouthAfrica - Gauteng
380,2021.0369600000001,SouthAfrica - Gauteng,Mozambique
381,2021.51915,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
382,2021.36299,SouthAfrica - Gauteng,SouthAfrica - WesternCape
383,2021.3370000000002,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
384,2021.3931200000002,SouthAfrica - Mpumalanga,SouthAfrica - Mpumalanga
385,2021.03382,SouthAfrica - Gauteng,SouthAfrica - NorthWest
386,2020.9942600000002,SouthAfrica - Gauteng,France
387,2020.9109300000002,SouthAfrica - Gauteng,Turkey
388,2021.1493000000003,Turkey,UnitedKingdom
389,2020.8169800000003,SouthAfrica - Gauteng,SouthAfrica - WesternCape
390,2021.03697,SouthAfrica - WesternCape,SouthAfrica - EasternCape
391,2020.9767100000001,SouthAfrica - WesternCape,SouthAfrica - EasternCape
392,2020.9521200000001,SouthAfrica - WesternCape,SouthAfrica - Gauteng
393,2021.0813100000003,SouthAfrica - Gauteng,UnitedKingdom
394,2021.1904000000002,UnitedKingdom,Norway
395,2021.2561500000002,UnitedKingdom,Pakistan
396,2021.3958800000003,UnitedKingdom,Pakistan
