Name	Accession ID	Date	Location	Region	Location_with_Region
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261935/2021-07-06	EPI_ISL_3261935	2021/07/06	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261936/2021-07-05	EPI_ISL_3261936	2021/07/05	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261942/2021-07-09	EPI_ISL_3261942	2021/07/09	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261944/2021-07-08	EPI_ISL_3261944	2021/07/08	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261946/2021-07-08	EPI_ISL_3261946	2021/07/08	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261949/2021-07-15	EPI_ISL_3261949	2021/07/15	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261950/2021-07-16	EPI_ISL_3261950	2021/07/16	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261951/2021-07-15	EPI_ISL_3261951	2021/07/15	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261952/2021-07-15	EPI_ISL_3261952	2021/07/15	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261954/2021-07-16	EPI_ISL_3261954	2021/07/16	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261955/2021-07-16	EPI_ISL_3261955	2021/07/16	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261956/2021-07-11	EPI_ISL_3261956	2021/07/11	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261959/2021-07-16	EPI_ISL_3261959	2021/07/16	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261960/2021-07-19	EPI_ISL_3261960	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261961/2021-07-19	EPI_ISL_3261961	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261962/2021-07-19	EPI_ISL_3261962	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261963/2021-07-19	EPI_ISL_3261963	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261964/2021-07-19	EPI_ISL_3261964	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261965/2021-07-19	EPI_ISL_3261965	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261966/2021-07-19	EPI_ISL_3261966	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261968/2021-07-19	EPI_ISL_3261968	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261972/2021-07-19	EPI_ISL_3261972	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261973/2021-07-19	EPI_ISL_3261973	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261974/2021-07-19	EPI_ISL_3261974	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261975/2021-07-19	EPI_ISL_3261975	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261976/2021-07-19	EPI_ISL_3261976	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
hCoV-19/Africa/SouthAfrica/KwaZulu-Natal/EPI_ISL_3261979/2021-07-19	EPI_ISL_3261979	2021/07/19	SouthAfrica	KwaZulu-Natal	SouthAfrica - KwaZulu-Natal
