,EventTime,Origin,Destination
814,2021.72606,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
815,2021.56442,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
816,2021.62743,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
817,2021.79455,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
818,2021.56441,SouthAfrica - Gauteng,SouthAfrica - WesternCape
819,2021.66304,SouthAfrica - WesternCape,SouthAfrica - NorthernCape
820,2021.64112,SouthAfrica - WesternCape,SouthAfrica - NorthWest
821,2021.69592,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
822,2021.53475,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
823,2021.65208,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
824,2021.81099,SouthAfrica - KwaZulu-Natal,SouthAfrica - Mpumalanga
825,2021.6383799999999,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
826,2021.64933,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
827,2021.75892,SouthAfrica - KwaZulu-Natal,SouthAfrica - WesternCape
828,2021.64112,SouthAfrica - Gauteng,SouthAfrica - FreeState
829,2021.64934,SouthAfrica - Gauteng,SouthAfrica - Limpopo
830,2021.6383799999999,SouthAfrica - Gauteng,SouthAfrica - FreeState
831,2021.58359,SouthAfrica - Gauteng,SouthAfrica - Limpopo
832,2021.67948,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
833,2021.6603,SouthAfrica - Gauteng,Mozambique
834,2021.75893,SouthAfrica - Gauteng,Mozambique
835,2021.75619,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
836,2021.6416199999999,SouthAfrica - Gauteng,SouthAfrica - NorthWest
837,2021.72604,SouthAfrica - NorthWest,SouthAfrica - Mpumalanga
838,2021.78083,SouthAfrica - Mpumalanga,SouthAfrica - WesternCape
839,2021.68223,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
840,2021.65209,SouthAfrica - Gauteng,Germany
841,2021.60003,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
842,2021.60277,SouthAfrica - Gauteng,SouthAfrica - FreeState
843,2021.65209,SouthAfrica - Gauteng,Germany
844,2021.73702,Germany,SouthAfrica - Mpumalanga
845,2021.63017,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
846,2021.67948,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
847,2021.59455,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
848,2021.5874,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
849,2021.82743,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
850,2021.72058,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
851,2021.8192099999999,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
852,2021.72058,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
853,2021.5671499999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
854,2021.56989,SouthAfrica - Gauteng,SouthAfrica - FreeState
855,2021.5918,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
856,2021.7424899999999,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
857,2021.60276,SouthAfrica - Gauteng,SouthAfrica - FreeState
858,2021.62194,SouthAfrica - Gauteng,SouthAfrica - FreeState
859,2021.5699,SouthAfrica - Gauteng,SouthAfrica - WesternCape
860,2021.7836,SouthAfrica - WesternCape,SouthAfrica - KwaZulu-Natal
861,2021.5699,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
862,2021.63565,SouthAfrica - KwaZulu-Natal,SouthAfrica - FreeState
863,2021.57263,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
864,2021.5726399999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
865,2021.57263,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
866,2021.64112,SouthAfrica - KwaZulu-Natal,SouthAfrica - FreeState
867,2021.8657799999999,SouthAfrica - FreeState,SouthAfrica - Gauteng
868,2021.57713,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
869,2021.70139,SouthAfrica - KwaZulu-Natal,SouthAfrica - Mpumalanga
870,2021.7233099999999,SouthAfrica - Mpumalanga,SouthAfrica - NorthWest
871,2021.5274299999999,SouthAfrica - Gauteng,SouthAfrica - FreeState
872,2021.62741,SouthAfrica - FreeState,SouthAfrica - Gauteng
873,2021.80824,SouthAfrica - FreeState,SouthAfrica - KwaZulu-Natal
874,2021.74248,SouthAfrica - FreeState,SouthAfrica - KwaZulu-Natal
875,2021.7233099999999,SouthAfrica - FreeState,SouthAfrica - KwaZulu-Natal
876,2021.60276,SouthAfrica - FreeState,SouthAfrica - Gauteng
877,2021.57067,SouthAfrica - Gauteng,SouthAfrica - NorthWest
878,2021.61646,SouthAfrica - NorthWest,SouthAfrica - FreeState
879,2021.7781,SouthAfrica - NorthWest,SouthAfrica - NorthernCape
880,2021.7424899999999,SouthAfrica - NorthWest,SouthAfrica - Mpumalanga
881,2021.73975,SouthAfrica - NorthWest,SouthAfrica - Mpumalanga
882,2021.87948,SouthAfrica - NorthWest,SouthAfrica - NorthernCape
883,2021.58085,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
884,2021.58358,SouthAfrica - Gauteng,SouthAfrica - Limpopo
885,2021.58358,SouthAfrica - Gauteng,SouthAfrica - FreeState
886,2021.58085,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
887,2021.58084,SouthAfrica - Gauteng,SouthAfrica - Limpopo
888,2021.57068,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
889,2021.77538,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
890,2021.77811,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
891,2021.49593,SouthAfrica - Gauteng,SouthAfrica - EasternCape
892,2021.66854,SouthAfrica - Gauteng,SouthAfrica - NorthWest
893,2021.58635,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
894,2021.79731,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
895,2021.87128,SouthAfrica - Gauteng,SouthAfrica - EasternCape
896,2021.69867,SouthAfrica - Gauteng,SouthAfrica - WesternCape
897,2021.61374,SouthAfrica - Gauteng,Germany
898,2021.58907,SouthAfrica - Gauteng,SouthAfrica - EasternCape
899,2021.59181,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
900,2021.59181,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
901,2021.68222,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
902,2021.77537,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
903,2021.67948,SouthAfrica - Gauteng,SouthAfrica - FreeState
904,2021.7808499999999,SouthAfrica - FreeState,Malawi
905,2021.64933,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
906,2021.63563,SouthAfrica - Gauteng,SouthAfrica - FreeState
907,2021.68222,SouthAfrica - Gauteng,SouthAfrica - NorthWest
908,2021.68221,SouthAfrica - Gauteng,Eswatini
909,2021.59729,SouthAfrica - Gauteng,SouthAfrica - NorthWest
910,2021.59729,SouthAfrica - NorthWest,SouthAfrica - KwaZulu-Natal
911,2021.7287999999999,SouthAfrica - Gauteng,SouthAfrica - WesternCape
912,2021.84661,SouthAfrica - Gauteng,SouthAfrica - EasternCape
913,2021.7973,SouthAfrica - Gauteng,SouthAfrica - NorthWest
914,2021.70379,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
915,2021.72059,SouthAfrica - Gauteng,SouthAfrica - Limpopo
916,2021.74799,SouthAfrica - Gauteng,SouthAfrica - NorthernCape
917,2021.6959299999999,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
918,2021.75895,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
919,2021.78909,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
920,2021.73977,SouthAfrica - Gauteng,SouthAfrica - Limpopo
921,2021.69046,SouthAfrica - Gauteng,SouthAfrica - FreeState
922,2021.8192199999999,SouthAfrica - Gauteng,SouthAfrica - NorthWest
923,2021.82744,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
924,2021.60278,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
925,2021.61207,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
926,2021.68771,SouthAfrica - KwaZulu-Natal,SouthAfrica - NorthWest
927,2021.77538,SouthAfrica - Gauteng,SouthAfrica - EasternCape
928,2021.63291,SouthAfrica - Gauteng,Mozambique
929,2021.81648,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
930,2021.70415,SouthAfrica - Gauteng,SouthAfrica - Limpopo
931,2021.70689,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
932,2021.61593,SouthAfrica - Gauteng,SouthAfrica - Limpopo
933,2021.76717,SouthAfrica - Limpopo,SouthAfrica - Gauteng
934,2021.7863499999999,SouthAfrica - Limpopo,SouthAfrica - Gauteng
935,2021.70963,SouthAfrica - Gauteng,Germany
936,2021.75895,SouthAfrica - Gauteng,SouthAfrica - Mpumalanga
937,2021.62196,SouthAfrica - Gauteng,SouthAfrica - FreeState
938,2022.24661,SouthAfrica - Gauteng,SouthAfrica - NorthWest
939,2021.62529,SouthAfrica - Gauteng,SouthAfrica - FreeState
940,2021.61922,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
941,2021.76717,SouthAfrica - KwaZulu-Natal,SouthAfrica - Gauteng
942,2021.59184,SouthAfrica - Gauteng,SouthAfrica - FreeState
943,2021.62744,SouthAfrica - FreeState,SouthAfrica - EasternCape
944,2021.6858399999999,SouthAfrica - EasternCape,SouthAfrica - NorthernCape
945,2021.68772,SouthAfrica - NorthernCape,SouthAfrica - KwaZulu-Natal
946,2021.66854,SouthAfrica - FreeState,Malawi
947,2021.6932,SouthAfrica - FreeState,SouthAfrica - Gauteng
948,2021.86306,SouthAfrica - FreeState,SouthAfrica - EasternCape
949,2021.51786,SouthAfrica - Gauteng,SouthAfrica - Limpopo
950,2021.72333,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
951,2021.77813,SouthAfrica - Gauteng,SouthAfrica - KwaZulu-Natal
